고객ID,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,평균주간통화시간,평균야간통화시간,평균주말통화시간,국내통화횟수,국내통화시간_분,평균국내통화시간,총통화시간_분,이탈여부
K100010,14,36.131353,10,7.973121,24,14.533282,1.443889,0,2.580811,0.797312,0.605553,48,58.637756,1.22162,60.081645,이탈
K100020,54,39.437279,34,21.152722,0,0,9.779366,0,0.73032,0.622139,0,88,60.590001,0.688523,70.369367,이탈
K100030,44,72.6,1,27.6,22,37.200001,16.601092,0,1.65,27.6,1.690909,67,137.400001,2.050746,154.001093,이탈
K100040,44,72.6,1,27.6,22,37.2,16.601076,0,1.65,27.6,1.690909,67,137.4,2.050746,154.001076,이탈
K100050,32,40.608449,14,18.823708,1,1.233764,4.473546,0,1.269014,1.344551,1.233764,47,60.665921,1.290764,65.139467,이탈
K100060,56,46.259545,6,11.085237,8,10.232527,1.858661,0,0.826063,1.84754,1.279066,70,67.577309,0.96539,69.43597,이탈
K100070,68,56.370313,6,4.012122,1,4.012122,6.673324,0,0.828975,0.668687,4.012122,75,64.394557,0.858594,71.067881,이탈
K100080,40,51.042554,13,34.801742,5,14.230046,15.210631,0,1.276064,2.677057,2.846009,58,100.074342,1.72542,115.284973,이탈
K100090,54,99,34,53.099999,0,0,24.549293,0,1.833333,1.561765,0,88,152.099999,1.728409,176.649292,이탈
K100100,37,65.4,17,29.4,0,0,3.961653,0,1.767568,1.729412,0,54,94.8,1.755556,98.761653,이탈
K100110,37,65.400001,17,29.400001,0,0,3.961652,0,1.767568,1.729412,0,54,94.800002,1.755556,98.761654,이탈
K100120,61,68.123038,34,33.880341,8,8.334201,13.423558,0,1.116771,0.996481,1.041775,103,110.33758,1.071239,123.761138,이탈
K100130,73,63.351716,31,26.802649,1,3.045756,26.216834,0,0.867832,0.864602,3.045756,105,93.200121,0.88762,119.416955,이탈
K100140,40,41.446501,23,16.132657,16,14.20898,17.470959,0,1.036163,0.70142,0.888061,79,71.788138,0.908711,89.259097,이탈
K100150,54,96,9,34.8,14,22.8,48.689425,0,1.777778,3.866667,1.628571,77,153.6,1.994805,202.289425,이탈
K100160,15,41.341572,17,23.841152,6,13.188723,7.381408,0,2.756105,1.402421,2.19812,38,78.371447,2.062407,85.752855,이탈
K100170,62,100.2,17,31.499999,5,9,4.858905,0,1.616129,1.852941,1.8,84,140.699999,1.675,145.558904,이탈
K100180,57,41.917551,32,21.826891,6,11.988255,21.497021,0,0.735396,0.68209,1.998043,95,75.732697,0.797186,97.229718,이탈
K100190,64,58.78209,12,28.748618,2,3.53335,22.55555,0,0.91847,2.395718,1.766675,78,91.064058,1.167488,113.619608,이탈
K100200,50,84.6,15,27.900001,21,42,12.531913,0,1.692,1.86,2,86,154.500001,1.796512,167.031914,이탈
K100210,50,84.599999,15,27.9,21,42,12.531912,0,1.692,1.86,2,86,154.499999,1.796512,167.031911,이탈
K100220,46,41.711565,26,15.279369,0,0,15.556814,0,0.906773,0.587668,0,72,56.990934,0.791541,72.547748,이탈
K100230,71,71.31012,25,38.428231,0,0,13.302458,0,1.004368,1.537129,0,96,109.738351,1.143108,123.040809,이탈
K100240,63,138.599999,0,0,1,5.4,7.98647,0,2.2,0,5.4,64,143.999999,2.25,151.986469,이탈
K100250,32,71.4,18,27.9,4,40.8,40.470631,0,2.23125,1.55,10.2,54,140.1,2.594444,180.570631,이탈
K100260,33,33.457519,35,22.223609,4,8.303326,11.755053,0,1.013864,0.63496,2.075832,72,63.984454,0.888673,75.739507,이탈
K100270,25,41.989655,21,14.465335,1,7.433576,9.47127,0,1.679586,0.688825,7.433576,47,63.888566,1.359331,73.359836,유지
K100280,51,80.399999,9,25.200001,4,34,24.391422,0,1.576471,2.8,8.5,64,139.6,2.18125,163.991422,이탈
K100290,57,90,6,45.6,20,38.499999,10.529046,0,1.578947,7.6,1.925,83,174.099999,2.09759,184.629045,이탈
K100300,46,87.6,5,30.299999,15,30,12.203613,0,1.904348,6.06,2,66,147.899999,2.240909,160.103612,이탈
K100310,49,36.356971,13,17.843913,3,8.364334,7.801911,0,0.741979,1.372609,2.788111,65,62.565218,0.962542,70.367129,이탈
K100320,62,40.080725,9,8.761365,17,13.091694,9.835785,0,0.646463,0.973485,0.7701,88,61.933784,0.703793,71.769569,이탈
K100330,44,73.549337,6,25.029879,6,21.17913,25.779165,0,1.671576,4.171647,3.529855,56,119.758346,2.138542,145.537511,이탈
K100340,46,87.599999,5,30.3,15,30,12.2036,0,1.904348,6.06,2,66,147.899999,2.240909,160.103599,이탈
